,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_alpha,param_loss,param_criterion,param_max_depth,param_splitter,param_n_estimators,param_algorithm,param_kernel,param_activation,param_hidden_layer_sizes,param_p,param_booster
0,0.5891153812408447,0.01121817537032327,0.0009061336517333984,0.00019747752515102886,1.0,l2,42,saga,"{'C': 1.0, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga'}",0.9086206896551724,0.9387402933563417,0.9283865401207938,0.9439171699741156,0.9370146678170836,0.9313358721847015,0.012410006476713293,13,,,,,,,,,,,,
1,0.603049898147583,0.11026658096999964,0.0010110855102539063,1.0995620863788646e-05,1.0,l2,42,liblinear,"{'C': 1.0, 'penalty': 'l2', 'random_state': 42, 'solver': 'liblinear'}",0.9801724137931035,0.9922346850733391,0.9879206212251941,0.9836065573770492,0.9861949956859362,0.9860258546309243,0.004056700468370431,5,,,,,,,,,,,,
2,0.5783370018005372,0.007859576727915388,0.0008430004119873047,0.00042684941631189195,1.0,l2,1453,saga,"{'C': 1.0, 'penalty': 'l2', 'random_state': 1453, 'solver': 'saga'}",0.9086206896551724,0.9387402933563417,0.9283865401207938,0.9430543572044866,0.9352890422778257,0.9308181845229241,0.012092261758896623,16,,,,,,,,,,,,
3,0.5894934654235839,0.10190433682491519,0.0008673191070556641,0.000269212665177453,1.0,l2,1453,liblinear,"{'C': 1.0, 'penalty': 'l2', 'random_state': 1453, 'solver': 'liblinear'}",0.9801724137931035,0.9922346850733391,0.9879206212251941,0.9836065573770492,0.9861949956859362,0.9860258546309243,0.004056700468370431,5,,,,,,,,,,,,
4,14.22685399055481,0.33388878270811834,0.001012897491455078,2.766477528450067e-06,1.0,l1,42,saga,"{'C': 1.0, 'penalty': 'l1', 'random_state': 42, 'solver': 'saga'}",0.9077586206896552,0.9387402933563417,0.9275237273511648,0.9421915444348576,0.9352890422778257,0.9303006456219689,0.01227484739446161,20,,,,,,,,,,,,
5,0.12614259719848633,0.005958588183913708,0.0010043621063232423,3.922257370506056e-06,1.0,l1,42,liblinear,"{'C': 1.0, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear'}",0.9577586206896552,0.9801553062985332,0.9792924935289042,0.9784296807592753,0.9818809318377912,0.9755034066228319,0.008945509333491112,7,,,,,,,,,,,,
6,14.176452112197875,0.30877103675478385,0.000807952880859375,0.00040403505585386484,1.0,l1,1453,saga,"{'C': 1.0, 'penalty': 'l1', 'random_state': 1453, 'solver': 'saga'}",0.903448275862069,0.9387402933563417,0.9283865401207938,0.9421915444348576,0.9352890422778257,0.9296111392103775,0.013855263951211567,21,,,,,,,,,,,,
7,0.12552995681762696,0.006912228937772271,0.0010062217712402343,5.733161302638678e-06,1.0,l1,1453,liblinear,"{'C': 1.0, 'penalty': 'l1', 'random_state': 1453, 'solver': 'liblinear'}",0.9577586206896552,0.9801553062985332,0.9792924935289042,0.9784296807592753,0.9818809318377912,0.9755034066228319,0.008945509333491112,7,,,,,,,,,,,,
8,0.5885672092437744,0.007798645994738151,0.0010103702545166016,4.0556394910745465e-06,0.8,l2,42,saga,"{'C': 0.8, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga'}",0.9086206896551724,0.9387402933563417,0.9283865401207938,0.9439171699741156,0.9370146678170836,0.9313358721847015,0.012410006476713293,13,,,,,,,,,,,,
9,0.4946787357330322,0.1455581435061171,0.0008214950561523437,0.00041252492996953296,0.8,l2,42,liblinear,"{'C': 0.8, 'penalty': 'l2', 'random_state': 42, 'solver': 'liblinear'}",0.9810344827586207,0.9922346850733391,0.9870578084555651,0.9844693701466781,0.9887834339948232,0.9867159560858052,0.0037993153365896647,3,,,,,,,,,,,,
10,0.5890310764312744,0.004066978015125556,0.0010112762451171876,9.254327019964649e-06,0.8,l2,1453,saga,"{'C': 0.8, 'penalty': 'l2', 'random_state': 1453, 'solver': 'saga'}",0.9086206896551724,0.9387402933563417,0.9283865401207938,0.9430543572044866,0.9352890422778257,0.9308181845229241,0.012092261758896623,16,,,,,,,,,,,,
11,0.4883707523345947,0.1315000376971856,0.0007972240447998047,0.00039879212898659747,0.8,l2,1453,liblinear,"{'C': 0.8, 'penalty': 'l2', 'random_state': 1453, 'solver': 'liblinear'}",0.9810344827586207,0.9922346850733391,0.9870578084555651,0.9844693701466781,0.9887834339948232,0.9867159560858052,0.0037993153365896647,3,,,,,,,,,,,,
12,12.103125619888306,0.23049802567887098,0.0008273601531982421,0.00041990092794991067,0.8,l1,42,saga,"{'C': 0.8, 'penalty': 'l1', 'random_state': 42, 'solver': 'saga'}",0.9077586206896552,0.9378774805867127,0.9275237273511648,0.9421915444348576,0.9361518550474547,0.9303006456219691,0.012238404451022165,19,,,,,,,,,,,,
13,0.12117533683776856,0.007444104976101544,0.0010001659393310547,1.1702442681742076e-05,0.8,l1,42,liblinear,"{'C': 0.8, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear'}",0.9568965517241379,0.9792924935289042,0.9706643658326143,0.9792924935289042,0.9758412424503883,0.9723974294129899,0.008369281750067546,9,,,,,,,,,,,,
14,12.095932006835938,0.21351842292586182,0.0008024692535400391,0.0004014102430023391,0.8,l1,1453,saga,"{'C': 0.8, 'penalty': 'l1', 'random_state': 1453, 'solver': 'saga'}",0.903448275862069,0.9387402933563417,0.9283865401207938,0.9413287316652287,0.9361518550474547,0.9296111392103775,0.013779836381703712,21,,,,,,,,,,,,
